# SELECTED_BUNDLE_FOR_SHIPPING,6

timestamp_iso,participant_id,age,response_group,trial_index,block,bundle_id,focal_product,tiein_product,condition,focal_price,tiein_price,total_price,allocation_per_trial,response_key,response,rt_ms,valid_response,is_selected_bundle,bundles_bought_cumulative
2026-01-15T08:11:18.557,4,26,B,0,1,14,Sausage (780g),Mustard,NP,11.6,1.4,13.0,70.0,num_1,NOBUY,3567.17,1,0,0
2026-01-15T08:11:26.351,4,26,B,1,1,37,FAIRY Dishwashing Liquid Lemon 1.5L,Dishwashing Sponge VILEDA,ZP,11.04,0.0,11.04,70.0,num_1,NOBUY,2706.2,1,0,0
2026-01-15T08:11:34.093,4,26,B,2,1,3,Hoco J87 Tacker PD20W+QC3.0 Power Bank (10000mAh) Black,Hoco X86 Micro Spear silicone charging data cable Black,ZP,46.4,0.0,46.4,70.0,num_3,BUY,1247.04,1,0,1
2026-01-15T08:11:41.571,4,26,B,3,1,11,Bacon,Eggs,NP,9.0,3.8,12.8,70.0,num_1,NOBUY,1694.41,1,0,1
2026-01-15T08:11:49.097,4,26,B,4,1,15,Nuts (Peanuts 120g),Dried Fruits,ZP,13.16,0.0,13.16,70.0,num_1,NOBUY,2241.42,1,0,1
2026-01-15T08:11:56.607,4,26,B,5,1,22,Beer,Peanuts,ZP,13.76,0.0,13.76,70.0,num_3,BUY,1563.35,1,0,2
2026-01-15T08:12:04.218,4,26,B,6,1,28,Coconut Body Lotion,Soap,NP,36.0,15.2,51.2,70.0,num_3,BUY,3850.87,1,0,3
2026-01-15T08:12:11.978,4,26,B,7,1,37,FAIRY Dishwashing Liquid Lemon 1.5L,Dishwashing Sponge VILEDA,LP,11.04,0.1,11.14,70.0,num_1,NOBUY,1222.05,1,0,3
2026-01-15T08:12:19.553,4,26,B,8,1,4,Proove Wireless Earphones Mainstream TWS white,BLACK CASE FOR AIRPODS 3,LP,56.0,0.1,56.1,70.0,num_3,BUY,2628.55,1,0,4
2026-01-15T08:12:27.097,4,26,B,9,1,19,Whiskey (0.75L),Leonardo Swing Whisky Glass,LP,55.52,0.1,55.62,70.0,num_1,NOBUY,1109.72,1,0,4
2026-01-15T08:12:34.674,4,26,B,10,1,21,Tea Box,Greenfield Tea,ZP,35.88,0.0,35.88,70.0,num_1,NOBUY,2518.32,1,0,4
2026-01-15T08:12:42.251,4,26,B,11,1,11,Bacon,Eggs,LP,12.8,0.1,12.9,70.0,num_1,NOBUY,2273.25,1,0,4
2026-01-15T08:12:49.827,4,26,B,12,1,24,Fito - Nourishment Shampoo for Dry Hair Sulfate-Free 250ml,Fito - Nourishment Conditioner for Dry Hair 175ml,LP,44.72,0.1,44.82,70.0,num_1,NOBUY,1350.72,1,0,4
2026-01-15T08:12:57.437,4,26,B,13,1,36,Lunch container,Lunch Bag,ZP,47.2,0.0,47.2,70.0,num_1,NOBUY,2105.49,1,0,4
2026-01-15T08:13:05.048,4,26,B,14,1,16,Chocolate Set (90g),Coffee,ZP,17.4,0.0,17.4,70.0,num_3,BUY,963.18,1,0,5
2026-01-15T08:13:12.508,4,26,B,15,1,26,Razor,Shaving Foam,LP,55.88,0.1,55.98,70.0,num_1,NOBUY,3019.54,1,0,5
2026-01-15T08:13:20.135,4,26,B,16,1,38,Table Lamp,Light Bulb,ZP,55.2,0.0,55.2,70.0,num_1,NOBUY,1151.92,1,0,5
2026-01-15T08:13:27.628,4,26,B,17,1,24,Fito - Nourishment Shampoo for Dry Hair Sulfate-Free 250ml,Fito - Nourishment Conditioner for Dry Hair 175ml,NP,24.76,19.96,44.72,70.0,num_1,NOBUY,1568.72,1,0,5
2026-01-15T08:13:35.138,4,26,B,18,1,39,Hascevher 28cm Granite Pan without Lid,Drevotvar 29.5cm Wooden Spoon,ZP,31.44,0.0,31.44,70.0,num_3,BUY,1935.08,1,0,6
2026-01-15T08:13:42.732,4,26,B,19,1,25,Liquid Soap Dispenser,Liquid Soap,NP,39.36,5.2,44.56,70.0,num_3,BUY,1517.95,1,0,7
2026-01-15T08:13:50.225,4,26,B,20,1,5,Webcam (HD camera mini packing),RK-12 LED Light,ZP,47.2,0.0,47.2,70.0,num_3,BUY,3197.19,1,0,8
2026-01-15T08:13:57.718,4,26,B,21,1,32,Sapiens,Bookmark,NP,19.92,2.4,22.32,70.0,num_3,BUY,1430.3,1,0,9
2026-01-15T08:14:05.261,4,26,B,22,1,18,Red Wine 'Gonadze' Khvanchkara (Semi-Sweet) 0.75L,Wine Bottle Opener OEM TM39002,NP,31.96,11.2,43.16,70.0,num_1,NOBUY,978.45,1,0,9
2026-01-15T08:14:12.839,4,26,B,23,1,20,Arak (Georgian Brandy),Energy Drink Red Bull (250ml),ZP,44.76,0.0,44.76,70.0,num_1,NOBUY,1987.06,1,0,9
2026-01-15T08:14:20.465,4,26,B,24,1,4,Proove Wireless Earphones Mainstream TWS white,BLACK CASE FOR AIRPODS 3,NP,46.4,9.6,56.0,70.0,num_1,NOBUY,2310.87,1,0,9
2026-01-15T08:14:27.992,4,26,B,25,1,12,Pesto,Pasta Barilla (Fussili),LP,23.48,0.1,23.58,70.0,num_3,BUY,2032.96,1,0,10
2026-01-15T08:14:35.518,4,26,B,26,1,8,Electric Stove (ARNICA ID 77610),Pan (HASCEVHER PICCOLO ID 100424),LP,41.76,0.1,41.86,70.0,num_1,NOBUY,2435.97,1,0,10
2026-01-15T08:14:43.129,4,26,B,27,1,26,Razor,Shaving Foam,NP,47.92,7.96,55.88,70.0,num_1,NOBUY,2272.88,1,0,10
2026-01-15T08:14:50.739,4,26,B,28,1,23,Toilet Paper (Selpak 32pcs),Wet Wipes,NP,26.0,5.44,31.44,70.0,num_1,NOBUY,960.93,1,0,10
2026-01-15T08:14:58.382,4,26,B,29,1,8,Electric Stove (ARNICA ID 77610),Pan (HASCEVHER PICCOLO ID 100424),ZP,41.76,0.0,41.76,70.0,num_1,NOBUY,843.79,1,0,10
2026-01-15T08:15:06.026,4,26,B,30,1,35,Candlestick,Candle,ZP,38.32,0.0,38.32,70.0,num_3,BUY,1383.95,1,0,11
2026-01-15T08:15:13.502,4,26,B,31,1,18,Red Wine 'Gonadze' Khvanchkara (Semi-Sweet) 0.75L,Wine Bottle Opener OEM TM39002,ZP,43.16,0.0,43.16,70.0,num_1,NOBUY,1292.49,1,0,11
2026-01-15T08:15:21.046,4,26,B,32,1,31,Designworks Ink - Notebook Twin Wire,Pen,NP,39.99,2.4,42.39,70.0,num_3,BUY,770.7,1,0,12
2026-01-15T08:15:28.556,4,26,B,33,1,17,Jackobs,Coffee mug,ZP,42.14,0.0,42.14,70.0,num_3,BUY,2089.57,1,0,13
2026-01-15T08:15:36.149,4,26,B,34,1,1,Wireless Mouse (Dell WM126 Black),Gembird mouse Pad Black,NP,40.9,2.4,43.3,70.0,num_1,NOBUY,1101.2,1,0,13
2026-01-15T08:15:43.776,4,26,B,35,1,10,Olive Oil (Extra Virgin 0.5L),Salad Bowl,LP,23.2,0.1,23.3,70.0,num_3,BUY,652.07,1,0,14
2026-01-15T08:15:51.419,4,26,B,36,1,35,Candlestick,Candle,NP,31.92,6.4,38.32,70.0,num_3,BUY,1260.54,1,0,15
2026-01-15T08:15:58.929,4,26,B,37,1,6,Vention TGKBD Type-C to 4-Port,Ugreen USB-C to USB-C PD Fast Charging Cable,ZP,54.4,0.0,54.4,70.0,num_1,NOBUY,1866.55,1,1,15
2026-01-15T08:16:06.473,4,26,B,38,1,32,Sapiens,Bookmark,LP,22.32,0.1,22.42,70.0,num_3,BUY,524.51,1,0,16
2026-01-15T08:16:14.116,4,26,B,39,1,29,Electric Toothbrush Bicofident,Toothpaste (LACALUT 75ml),LP,43.25,0.1,43.35,70.0,num_1,NOBUY,564.48,1,0,16
2026-01-15T08:17:14.380,4,26,B,40,2,33,Board,Markers,LP,43.0,0.1,43.1,70.0,num_1,NOBUY,1146.65,1,0,16
