# SELECTED_BUNDLE_FOR_SHIPPING,33

timestamp_iso,participant_id,age,response_group,trial_index,block,bundle_id,focal_product,tiein_product,condition,focal_price,tiein_price,total_price,allocation_per_trial,response_key,response,rt_ms,valid_response,is_selected_bundle,bundles_bought_cumulative
2026-01-15T08:43:32.218,5,26,A,0,1,18,Red Wine 'Gonadze' Khvanchkara (Semi-Sweet) 0.75L,Wine Bottle Opener OEM TM39002,NP,31.96,11.2,43.16,70.0,,,,0,0,0
2026-01-15T08:43:39.828,5,26,A,1,1,33,Board,Markers,NP,39.2,3.8,43.0,70.0,,,,0,1,0
2026-01-15T08:43:47.471,5,26,A,2,1,11,Bacon,Eggs,LP,12.8,0.1,12.9,70.0,num_1,BUY,1216.47,1,0,1
2026-01-15T08:43:55.065,5,26,A,3,1,1,Wireless Mouse (Dell WM126 Black),Gembird mouse Pad Black,NP,40.9,2.4,43.3,70.0,num_3,NOBUY,1242.35,1,0,1
2026-01-15T08:44:02.741,5,26,A,4,1,21,Tea Box,Greenfield Tea,LP,35.88,0.1,35.98,70.0,num_3,NOBUY,1991.85,1,0,1
2026-01-15T08:44:10.301,5,26,A,5,1,6,Vention TGKBD Type-C to 4-Port,Ugreen USB-C to USB-C PD Fast Charging Cable,LP,54.4,0.1,54.5,70.0,num_1,BUY,1235.23,1,0,2
2026-01-15T08:44:17.877,5,26,A,6,1,11,Bacon,Eggs,NP,9.0,3.8,12.8,70.0,num_3,NOBUY,2302.94,1,0,2
2026-01-15T08:44:25.438,5,26,A,7,1,23,Toilet Paper (Selpak 32pcs),Wet Wipes,NP,26.0,5.44,31.44,70.0,num_1,BUY,2277.91,1,0,3
2026-01-15T08:44:33.065,5,26,A,8,1,8,Electric Stove (ARNICA ID 77610),Pan (HASCEVHER PICCOLO ID 100424),NP,30.4,11.36,41.76,70.0,num_3,NOBUY,1586.19,1,0,3
2026-01-15T08:44:40.841,5,26,A,9,1,37,FAIRY Dishwashing Liquid Lemon 1.5L,Dishwashing Sponge VILEDA,ZP,11.04,0.0,11.04,70.0,num_1,BUY,1340.09,1,0,4
2026-01-15T08:44:48.485,5,26,A,10,1,5,Webcam (HD camera mini packing),RK-12 LED Light,NP,34.4,12.8,47.2,70.0,num_3,NOBUY,3516.06,1,0,4
2026-01-15T08:44:56.144,5,26,A,11,1,16,Chocolate Set (90g),Coffee,LP,17.4,0.1,17.5,70.0,num_3,NOBUY,1104.12,1,0,4
2026-01-15T08:45:03.704,5,26,A,12,1,40,Flashlight,Battery,NP,53.6,4.0,57.6,70.0,,,,0,0,4
