timestamp_iso,global_trial,block,trial_in_block,stimulus,center_dir,congruent,correct_key,resp_key,correct,rt_ms,stim_time_s,isi_s
2025-10-10T08:40:07.242,1,1,1,>>>>>,>,1,slash,slash,1,715.92,0.2,1.389
2025-10-10T08:40:09.209,2,1,2,<<<<<,<,1,lshift,lshift,1,633.15,0.2,1.386
2025-10-10T08:40:11.056,3,1,3,>>>>>,>,1,slash,slash,1,533.28,0.2,1.262
2025-10-10T08:40:12.837,4,1,4,>><>>,<,0,lshift,lshift,1,449.56,0.2,1.381
2025-10-10T08:40:14.685,5,1,5,>><>>,<,0,lshift,lshift,1,582.3,0.2,1.239
2025-10-10T08:40:16.551,6,1,6,>><>>,<,0,lshift,lshift,1,482.41,0.2,1.237
2025-10-10T08:40:18.316,7,1,7,<<<<<,<,1,lshift,lshift,1,348.6,0.2,1.32
2025-10-10T08:40:20.032,8,1,8,>>>>>,>,1,slash,slash,1,350.91,0.2,1.279
2025-10-10T08:40:21.830,9,1,9,>>>>>,>,1,slash,slash,1,383.63,0.2,1.386
2025-10-10T08:40:23.512,10,1,10,>>>>>,>,1,slash,slash,1,365.7,0.2,1.239
2025-10-10T08:40:25.194,11,1,11,<<<<<,<,1,lshift,lshift,1,384.24,0.2,1.213
2025-10-10T08:40:26.826,12,1,12,>>>>>,>,1,slash,slash,1,366.91,0.2,1.381
2025-10-10T08:40:28.524,13,1,13,>>>>>,>,1,slash,slash,1,348.66,0.2,1.315
2025-10-10T08:40:30.140,14,1,14,>>>>>,>,1,slash,slash,1,367.14,0.2,1.242
2025-10-10T08:40:31.921,15,1,15,<<><<,>,0,slash,lshift,0,415.55,0.2,1.324
2025-10-10T08:40:33.669,16,1,16,<<><<,>,0,slash,slash,1,415.61,0.2,1.229
2025-10-10T08:40:35.319,17,1,17,<<<<<,<,1,lshift,lshift,1,415.88,0.2,1.297
2025-10-10T08:40:37.034,18,1,18,<<<<<,<,1,lshift,lshift,1,350.55,0.2,1.389
2025-10-10T08:40:38.664,19,1,19,>><>>,<,0,lshift,lshift,1,299.66,0.2,1.376
2025-10-10T08:40:40.197,20,1,20,<<><<,>,0,slash,lshift,0,299.3,0.2,1.297
2025-10-10T08:40:41.913,21,1,21,<<><<,>,0,slash,slash,1,484.07,0.2,1.281
2025-10-10T08:40:43.727,22,1,22,>><>>,<,0,lshift,lshift,1,482.79,0.2,1.309
