timestamp_iso,global_trial,block,trial_in_block,stimulus,center_dir,congruent,correct_key,resp_key,correct,rt_ms,stim_time_s,isi_s
2025-10-23T07:44:15.076,1,1,1,>>>>>,>,1,slash,slash,1,749.55,0.2,1.301
2025-10-23T07:44:17.157,2,1,2,<<><<,>,0,slash,slash,1,681.89,0.2,1.367
2025-10-23T07:44:19.121,3,1,3,>><>>,<,0,lshift,lshift,1,599.15,0.2,1.276
2025-10-23T07:44:21.070,4,1,4,<<><<,>,0,slash,slash,1,533.5,0.2,1.201
2025-10-23T07:44:22.968,5,1,5,>>>>>,>,1,slash,slash,1,566.43,0.2,1.255
2025-10-23T07:44:24.783,6,1,6,>><>>,<,0,lshift,lshift,1,566.86,0.2,1.337
2025-10-23T07:44:26.598,7,1,7,>>>>>,>,1,slash,slash,1,398.22,0.2,1.259
2025-10-23T07:44:28.629,8,1,8,<<><<,>,0,slash,slash,1,632.06,0.2,1.224
2025-10-23T07:44:30.328,9,1,9,<<<<<,<,1,lshift,lshift,1,381.73,0.2,1.359
2025-10-23T07:44:32.410,10,1,10,>>>>>,>,1,slash,slash,1,848.65,0.2,1.383
2025-10-23T07:44:34.342,11,1,11,<<><<,>,0,slash,slash,1,600.62,0.2,1.22
2025-10-23T07:44:36.239,12,1,12,<<<<<,<,1,lshift,lshift,1,614.84,0.2,1.384
2025-10-23T07:44:38.272,13,1,13,>><>>,<,0,lshift,lshift,1,700.66,0.2,1.345
2025-10-23T07:44:40.122,14,1,14,<<><<,>,0,slash,slash,1,500.96,0.2,1.204
2025-10-23T07:44:41.936,15,1,15,>>>>>,>,1,slash,slash,1,501.2,0.2,1.379
2025-10-23T07:44:43.783,16,1,16,>><>>,<,0,lshift,lshift,1,531.48,0.2,1.32
2025-10-23T07:44:45.716,17,1,17,>><>>,<,0,lshift,lshift,1,683.55,0.2,1.343
2025-10-23T07:44:47.514,18,1,18,<<><<,>,0,slash,slash,1,517.12,0.2,1.395
2025-10-23T07:44:49.280,19,1,19,<<><<,>,0,slash,slash,1,484.04,0.2,1.242
2025-10-23T07:44:51.110,20,1,20,>><>>,<,0,lshift,lshift,1,517.59,0.2,1.259
2025-10-23T07:44:52.892,21,1,21,>>>>>,>,1,slash,slash,1,466.95,0.2,1.254
2025-10-23T07:44:54.940,22,1,22,<<<<<,<,1,lshift,lshift,1,632.17,0.2,1.399
2025-10-23T07:44:56.688,23,1,23,<<<<<,<,1,lshift,lshift,1,466.32,0.2,1.382
2025-10-23T07:44:58.486,24,1,24,>><>>,<,0,lshift,lshift,1,549.63,0.2,1.319
2025-10-23T07:45:00.269,25,1,25,>>>>>,>,1,slash,slash,1,466.54,0.2,1.394
2025-10-23T07:45:01.951,26,1,26,<<<<<,<,1,lshift,lshift,1,450.86,0.2,1.39
2025-10-23T07:45:03.702,27,1,27,<<><<,>,0,slash,slash,1,385.68,0.2,1.348
2025-10-23T07:45:05.516,28,1,28,>>>>>,>,1,slash,slash,1,468.02,0.2,1.212
2025-10-23T07:45:07.296,29,1,29,>><>>,<,0,lshift,lshift,1,432.93,0.2,1.235
2025-10-23T07:45:09.045,30,1,30,>>>>>,>,1,slash,slash,1,367.43,0.2,1.33
2025-10-23T07:45:10.825,31,1,31,<<><<,>,0,slash,slash,1,481.06,0.2,1.391
2025-10-23T07:45:12.609,32,1,32,<<<<<,<,1,lshift,lshift,1,384.03,0.2,1.206
2025-10-23T07:45:14.290,33,1,33,>>>>>,>,1,slash,slash,1,414.82,0.2,1.364
2025-10-23T07:45:15.972,34,1,34,>><>>,<,0,lshift,lshift,1,433.49,0.2,1.265
2025-10-23T07:45:17.787,35,1,35,>><>>,<,0,lshift,lshift,1,415.98,0.2,1.284
2025-10-23T07:45:19.601,36,1,36,>>>>>,>,1,slash,slash,1,399.25,0.2,1.285
2025-10-23T07:45:21.401,37,1,37,>><>>,<,0,lshift,lshift,1,399.62,0.2,1.375
2025-10-23T07:45:23.248,38,1,38,<<<<<,<,1,lshift,lshift,1,431.61,0.2,1.299
2025-10-23T07:45:25.080,39,1,39,<<><<,>,0,slash,slash,1,447.88,0.2,1.21
2025-10-23T07:45:26.764,40,1,40,<<<<<,<,1,lshift,lshift,1,351.65,0.2,1.39
2025-10-23T07:45:28.511,41,1,41,<<<<<,<,1,lshift,lshift,1,432.49,0.2,1.344
2025-10-23T07:45:30.409,42,1,42,<<><<,>,0,slash,slash,1,498.77,0.2,1.399
2025-10-23T07:45:32.141,43,1,43,<<<<<,<,1,lshift,lshift,1,381.78,0.2,1.34
2025-10-23T07:45:34.005,44,1,44,<<><<,>,0,slash,slash,1,516.48,0.2,1.364
2025-10-23T07:45:35.822,45,1,45,<<<<<,<,1,lshift,lshift,1,417.56,0.2,1.316
2025-10-23T07:45:37.587,46,1,46,<<<<<,<,1,lshift,lshift,1,450.43,0.2,1.357
2025-10-23T07:45:39.284,47,1,47,>>>>>,>,1,slash,slash,1,416.53,0.2,1.293
2025-10-23T07:45:41.167,48,1,48,<<><<,>,0,slash,slash,1,483.78,0.2,1.275
2025-10-23T07:45:43.030,49,1,49,>><>>,<,0,lshift,lshift,1,481.75,0.2,1.395
2025-10-23T07:45:44.697,50,1,50,>>>>>,>,1,slash,slash,1,433.16,0.2,1.243
2025-10-23T07:45:54.721,51,2,1,>>>>>,>,1,slash,slash,1,466.95,0.2,1.378
2025-10-23T07:45:56.453,52,2,2,<<><<,>,0,slash,slash,1,433.18,0.2,1.333
2025-10-23T07:45:58.234,53,2,3,<<><<,>,0,slash,slash,1,432.98,0.2,1.227
2025-10-23T07:45:59.866,54,2,4,>><>>,<,0,lshift,lshift,1,399.04,0.2,1.261
2025-10-23T07:46:01.583,55,2,5,<<><<,>,0,slash,slash,1,467.63,0.2,1.338
2025-10-23T07:46:03.248,56,2,6,<<<<<,<,1,lshift,lshift,1,351.7,0.2,1.286
2025-10-23T07:46:04.912,57,2,7,<<<<<,<,1,lshift,lshift,1,416.26,0.2,1.272
2025-10-23T07:46:06.662,58,2,8,<<<<<,<,1,lshift,lshift,1,351.56,0.2,1.209
2025-10-23T07:46:08.411,59,2,9,<<><<,>,0,slash,slash,1,418.99,0.2,1.291
