# SELECTED_BUNDLE_FOR_SHIPPING,29

timestamp_iso,participant_id,age,response_group,trial_index,block,bundle_id,focal_product,tiein_product,condition,focal_price,tiein_price,total_price,allocation_per_trial,response_key,response,rt_ms,valid_response,is_selected_bundle,bundles_bought_cumulative
2026-01-15T07:39:54.004,3,26,A,0,1,9,Rice (N1 Long Grain 900g),Spices (Black Pepper),LP,4.43,0.1,4.53,70.0,num_3,NOBUY,1101.62,1,0,0
2026-01-15T07:40:01.497,3,26,A,1,1,26,Razor,Shaving Foam,LP,55.88,0.1,55.98,70.0,num_3,NOBUY,483.4,1,0,0
2026-01-15T07:40:09.141,3,26,A,2,1,33,Board,Markers,NP,39.2,3.8,43.0,70.0,,,,0,0,0
2026-01-15T07:40:16.784,3,26,A,3,1,29,Electric Toothbrush Bicofident,Toothpaste (LACALUT 75ml),NP,34.8,8.45,43.25,70.0,num_3,NOBUY,648.57,1,1,0
2026-01-15T07:40:24.427,3,26,A,4,1,25,Liquid Soap Dispenser,Liquid Soap,NP,39.36,5.2,44.56,70.0,num_1,BUY,773.13,1,0,1
2026-01-15T07:40:32.120,3,26,A,5,1,27,Nail Care Set,Tweezers,LP,55.07,0.1,55.17,70.0,num_1,BUY,1568.45,1,0,2
2026-01-15T07:40:39.947,3,26,A,6,1,37,FAIRY Dishwashing Liquid Lemon 1.5L,Dishwashing Sponge VILEDA,NP,9.24,1.8,11.04,70.0,num_3,NOBUY,287.84,1,0,2
2026-01-15T07:40:47.524,3,26,A,7,1,18,Red Wine 'Gonadze' Khvanchkara (Semi-Sweet) 0.75L,Wine Bottle Opener OEM TM39002,LP,43.16,0.1,43.26,70.0,num_3,NOBUY,159.81,1,0,2
2026-01-15T07:40:55.017,3,26,A,8,1,1,Wireless Mouse (Dell WM126 Black),Gembird mouse Pad Black,NP,40.9,2.4,43.3,70.0,num_1,BUY,288.02,1,0,3
2026-01-15T07:41:02.478,3,26,A,9,1,30,Floor Cleaning Mop,Mop Replacement Head,LP,55.52,0.1,55.62,70.0,num_3,NOBUY,247.88,1,0,3
2026-01-15T07:41:10.138,3,26,A,10,1,20,Arak (Georgian Brandy),Energy Drink Red Bull (250ml),NP,40.0,4.76,44.76,70.0,num_3,NOBUY,1127.8,1,0,3
2026-01-15T07:41:17.714,3,26,A,11,1,1,Wireless Mouse (Dell WM126 Black),Gembird mouse Pad Black,ZP,43.3,0.0,43.3,70.0,num_1,BUY,685.57,1,0,4
2026-01-15T07:41:25.374,3,26,A,12,1,29,Electric Toothbrush Bicofident,Toothpaste (LACALUT 75ml),LP,43.25,0.1,43.35,70.0,num_3,NOBUY,626.08,1,1,4
2026-01-15T07:41:33.001,3,26,A,13,1,14,Sausage (780g),Mustard,LP,13.0,0.1,13.1,70.0,num_3,NOBUY,533.52,1,0,4
2026-01-15T07:41:40.461,3,26,A,14,1,11,Bacon,Eggs,LP,12.8,0.1,12.9,70.0,num_3,NOBUY,310.18,1,0,4
2026-01-15T07:41:47.955,3,26,A,15,1,22,Beer,Peanuts,ZP,13.76,0.0,13.76,70.0,num_3,NOBUY,550.39,1,0,4
2026-01-15T07:41:55.631,3,26,A,16,1,7,Electric Kettle (ADLER AD1224),Tea Cup with Filter,LP,42.07,0.1,42.17,70.0,num_1,BUY,156.69,1,0,5
2026-01-15T07:42:03.125,3,26,A,17,1,39,Hascevher 28cm Granite Pan without Lid,Drevotvar 29.5cm Wooden Spoon,LP,31.44,0.1,31.54,70.0,num_3,NOBUY,541.04,1,0,5
2026-01-15T07:42:10.717,3,26,A,18,1,35,Candlestick,Candle,LP,38.32,0.1,38.42,70.0,num_3,NOBUY,1452.69,1,0,5
2026-01-15T07:42:18.261,3,26,A,19,1,23,Toilet Paper (Selpak 32pcs),Wet Wipes,NP,26.0,5.44,31.44,70.0,num_1,BUY,271.7,1,0,6
2026-01-15T07:42:25.821,3,26,A,20,1,15,Nuts (Peanuts 120g),Dried Fruits,ZP,13.16,0.0,13.16,70.0,num_3,NOBUY,386.65,1,0,6
2026-01-15T07:42:33.431,3,26,A,21,1,14,Sausage (780g),Mustard,ZP,13.0,0.0,13.0,70.0,num_3,NOBUY,163.73,1,0,6
2026-01-15T07:42:40.908,3,26,A,22,1,21,Tea Box,Greenfield Tea,LP,35.88,0.1,35.98,70.0,num_1,BUY,574.36,1,0,7
2026-01-15T07:42:48.385,3,26,A,23,1,22,Beer,Peanuts,LP,13.76,0.1,13.86,70.0,num_3,NOBUY,85.23,1,0,7
2026-01-15T07:42:56.028,3,26,A,24,1,39,Hascevher 28cm Granite Pan without Lid,Drevotvar 29.5cm Wooden Spoon,ZP,31.44,0.0,31.44,70.0,num_3,NOBUY,806.69,1,0,7
2026-01-15T07:43:03.638,3,26,A,25,1,35,Candlestick,Candle,NP,31.92,6.4,38.32,70.0,num_3,NOBUY,717.08,1,0,7
2026-01-15T07:43:11.214,3,26,A,26,1,17,Jackobs,Coffee mug,LP,42.14,0.1,42.24,70.0,num_3,NOBUY,810.8,1,0,7
